;regiao;IPS;NotaDNB;Nutricao;AguaeSaneamento;Moradia;SegurancaPessoal;NotaDimensaoBemEstar
1;RIO DE JANEIRO;60.79;74.13;66.12;83.68;79.57;67.14;51.63
2;I PORTUARIA;42.06;59.67;64.32;80.8;71.06;22.49;36
3;II CENTRO;55.59;59.23;56.64;74.18;91.6;14.52;50.26
4;III RIO COMPRIDO;55.5;68.27;72.61;84.36;73.29;42.82;50.81
5;IV BOTAFOGO;85.03;91.66;89.92;98.49;99.07;79.18;77.09
6;V COPACABANA;80.23;92.03;92.01;99.32;96.84;79.97;68.93
7;VI LAGOA;79.02;85.05;67.4;98.86;96.28;77.66;70.24
8;VII SAO CRISTOVAO;51.86;69.14;65.35;86.36;74.47;50.36;40.8
9;VIII TIJUCA;71.61;85.47;85.23;84.62;95.54;76.49;51.37
10;IX VILA ISABEL;73.05;82.68;68.21;94.21;87.11;81.17;64.52
11;X RAMOS;57.04;72.69;64.9;94.92;70.96;59.99;45.63
12;XI PENHA;56.96;74.39;43.14;97.56;85.59;71.27;45.01
13;XII INHAUMA;56.92;74.43;64.39;92.05;83.13;58.16;38.92
14;XIII MEIER;64.61;77.15;64.71;91.26;88.36;64.28;55.32
15;XIV IRAJA;64.57;79.8;66.97;97.73;90.95;63.56;50.33
16;XV MADUREIRA;55.61;68.86;53.76;89.36;82.89;49.43;45.89
17;XVI JACAREPAGUA;61.94;74.38;73.37;68.78;73.59;81.76;52.36
18;XVII BANGU;51.84;70.87;66.52;89.96;74.32;52.69;37.74
19;XVIII CAMPO GRANDE;58.68;77.91;70.78;78.76;76.78;85.31;42.89
20;XIX SANTA CRUZ;50.82;71.47;57.91;71.21;65.96;90.79;31.87
21;XX ILHA DO GOVERNADOR;62.97;78.37;67.06;89.27;87.8;69.35;50.89
22;XXII ANCHIETA;55.72;72.83;74.81;86.42;76.82;53.29;42.92
23;XXIII SANTA TERESA;63.26;77.57;81.49;84.64;81.14;63.03;64.04
24;XXIV BARRA DA TIJUCA;69.7;70.61;78.49;50.75;84.87;68.34;67.87
25;XXV PAVUNA;42.97;60.94;51.21;87.31;64.53;40.71;27.58
26;XXVI GUARATIBA;43.54;54.92;64.71;17.54;59.45;77.99;31.07
27;XXVII ROCINHA;52.27;68.69;68.66;78.11;37.8;90.18;43.53
28;XXVIII JACAREZINHO;45.15;54.61;37.52;85.73;21.52;73.69;37.11
29;XXIX COMPLEXO DO ALEMAO;43.68;57.18;51.47;92.98;39.64;44.62;36.94
30;XXX MARE;47.2;66.22;54.12;82.18;69.04;59.56;34.85
31;XXXI VIGARIO GERAL;54.93;72.03;54.17;88.64;71.39;73.91;45.77
32;XXXIII REALENGO;55.76;72.07;64.96;87.4;81.21;54.72;43.49
33;XXXIV CIDADE DE DEUS;47.84;73.68;55.73;93.43;65.41;80.15;31.47
